CA;CxJ;FJ;BJ;ET;SLT;SRVs
18;[1, 4, 9, 14, 3, 5, 1, 6, 15, 5, 1, 1, 2, 5, 3, 6, 1, 1];57;26;55.39728451788618;10.0;[{1: 0.2630077831061324, 2: 0.36618848384895464, 3: 29.156843850895886, 4: 33.03465196233149, 5: 1.0470910284832748, 6: 3.665736914191094, 7: 4.137512430239359, 8: 25.98666659401529, 9: 46.89503892629723, 10: 14.190425519710928, 11: 5.208542490343758, 12: 5.335381032502255, 13: 5.4169789837927995, 14: 6.441536303124143, 15: 6.924868901576467, 16: 7.141361091551513, 17: 7.805003374562162, 18: 8.918868616583723}, {1: 2.7788846795143107, 2: 3.645416518221559, 3: 23.37382842490932, 6: 11.785881580293797, 4: 13.656655546687054, 11: 14.928241944153983, 13: 18.377004357826525, 14: 19.781954114696322, 16: 24.142005852788813, 8: 23.448981980148645, 9: 44.304170659210996, 10: 24.968713687443266}, {1: 7.362459259327464, 2: 7.8458453910421495, 3: 29.87650394191122, 6: 11.800708081200911, 4: 20.786905183692735, 13: 21.630561718231508, 14: 21.98167761094636, 10: 29.48904024000295, 9: 50.15815586753199, 16: 33.08983857457606}, {2: 2.857048266140841, 5: 8.1590874832405, 1: 7.882171347850086, 4: 35.0019269049705, 14: 34.309310794042496, 3: 25.053446857467407, 8: 26.041179851244426, 9: 50.65787953292092, 16: 33.08924882302345}, {4: 31.955178688164594, 2: 8.356178069273115, 15: 23.464138132589316, 18: 22.954249442060416, 3: 28.87569227444716, 8: 29.84026776905705, 16: 27.63312896150412, 10: 29.527606302277807, 9: 51.5853202452105, 14: 36.83752500920541}, {3: 30.72824189102213, 4: 15.46472908212714, 7: 11.23776008066895, 6: 12.938490111700997, 12: 16.493221861192914, 15: 24.121124576110113, 18: 23.795199916403348, 14: 38.32016639707163, 16: 28.363708159914967, 9: 51.77753549888308}, {3: 32.38294540221565, 6: 15.749828857721463, 7: 15.338014298565946, 4: 28.64551379318446, 12: 17.929538934295064, 18: 24.55789996106815, 15: 24.598742695758062, 16: 30.17794585931805, 8: 32.1778874216474, 9: 52.646237239773626, 14: 38.46726880793549}, {1: 8.224026040389434, 5: 9.897888851728123, 2: 11.954184482058068, 7: 16.027843698027958, 6: 16.44756563619621, 11: 17.199694814521116, 12: 18.878966518544626, 17: 22.212701505594172, 13: 23.608443212695594, 18: 25.525362805761144, 15: 26.21636010578735, 10: 31.676309524852652, 16: 33.093100569778755, 8: 33.73244617323089, 3: 34.552779331815685, 4: 36.844995895367624, 14: 39.16644877589003, 9: 54.62996303868844}]
9;[2, 2, 8, 5, 2, 2, 4, 1, 1];20;7;28.628828814905425;10.0;[{1: 0.6469249685305388, 2: 3.6390980775521005, 3: 18.587422709179933, 4: 11.602370523941572, 5: 2.503692256278633, 6: 5.584924370137484, 7: 18.394614135539477, 8: 7.7780961510609705, 9: 8.649894832481063}, {2: 7.31391579094546, 6: 9.712537185467296, 7: 12.920381797419964, 4: 15.79841617450873, 3: 24.452313003443173}, {1: 1.6968861883461024, 3: 23.73660567595742, 6: 11.318452255066708, 7: 18.002112367294835}, {1: 1.7598797740311682, 5: 5.861528943237172, 3: 25.109819796628877}, {1: 3.2462335407835505, 4: 15.805406191763236, 3: 27.491438094533574}, {1: 3.648674792116904, 5: 6.506143079167193, 4: 10.433161911977049, 3: 12.242454072509272}, {5: 7.080486606889843, 2: 8.082971099766871, 6: 11.844130669265398, 3: 12.864081624596746, 8: 14.360763354535798}, {1: 4.276482913204363, 5: 7.4422676914087225, 2: 11.087718898314211, 6: 13.339033388082731, 9: 14.368693267415066, 8: 15.119740661850265, 4: 16.051124128422654, 7: 19.658418973531, 3: 28.42831945821882}]
7;[1, 4, 11, 7, 5, 6, 5];26;13;31.07040124461236;10.0;[{1: 1.2801162356432345, 2: 3.5161255966525706, 3: 5.492963848178539, 4: 8.931427670661956, 5: 17.53405522098529, 6: 14.897214762239486, 7: 9.818780520599695}, {1: 1.712470776632896, 2: 3.578580777856427, 6: 17.00379358426394, 3: 14.114925037574611, 5: 17.646007160702435, 7: 17.18634019413639}, {1: 4.595990667016499, 2: 9.066658545973533, 6: 13.596540548800197, 3: 21.978549032023302, 5: 17.93993531382723, 7: 17.9115908950613}, {5: 18.75490653802626, 2: 9.981622389570044, 4: 13.218975566493395, 6: 17.085743768874575, 3: 14.908808554162789, 7: 18.26061053811295}, {3: 23.406535821863642, 5: 11.939672511544247, 4: 13.67065509993556, 6: 18.016499727956685}, {2: 7.5044820594404875, 3: 28.27184735846828, 7: 14.552034128612375, 4: 16.38840792161188}, {4: 18.71859490114182, 7: 14.566118264806937, 3: 28.29435033695001}, {1: 5.839857765827208, 2: 12.767785225316954, 6: 18.062785357566, 7: 18.510070544589556, 4: 19.259410960816467, 5: 21.420133021113077, 3: 30.04124294722396}]
12;[8, 2, 1, 1, 2, 1, 5, 3, 2, 1, 6, 11];32;11;44.89736303174952;10.0;[{1: 0.31042410557995626, 2: 2.082871542500122, 3: 2.0998162563646083, 4: 3.463768708448525, 5: 4.654344397783534, 6: 4.9339457846386505, 7: 5.074478027154048, 8: 5.536541764959998, 9: 7.526656926682471, 10: 8.453898652502877, 11: 8.877480457549249, 12: 31.296103824339262}, {1: 2.6335362325764162, 3: 3.467899184690908, 4: 3.5528458834044216, 6: 11.919845445782585, 7: 12.614930741343795, 10: 14.279402940517356, 11: 23.82101665706813, 8: 16.20103752929104, 12: 35.212772156759854}, {6: 13.967008507100486, 9: 14.246250669348708, 11: 24.352447850923095, 12: 38.19968043127067}, {2: 2.635348047117577, 1: 3.671162726817989, 6: 13.985924245050898, 12: 39.599071688581326, 9: 16.570185911498974}, {1: 6.425296363483269, 10: 15.911494006311786, 7: 19.903734127646565, 11: 23.397735981524807, 12: 39.623941911560394}, {1: 7.916595586279021, 8: 13.401624528771574, 7: 15.33008519680073, 10: 16.08463702071761, 11: 23.204334829553822, 12: 39.902795557195866}, {3: 3.877308901442872, 1: 7.753910131496085, 5: 6.837384918553697, 10: 16.84436387915932, 11: 16.970993086193822, 12: 41.12382451095598}, {2: 3.6888786180410045, 4: 3.9419624315415396, 3: 4.2049985406348815, 5: 7.069206893455843, 1: 8.713743967301289, 6: 15.114570119661582, 9: 16.90332452750935, 10: 17.150985954329723, 8: 17.37649411884171, 7: 21.937624500225496, 11: 24.64898666118083, 12: 41.503174179073696}]
13;[5, 19, 4, 2, 4, 3, 3, 6, 2, 2, 5, 6, 1];41;21;51.54206340779186;10.0;[{1: 11.120810758512958, 2: 40.40141375381395, 3: 2.907946915242834, 4: 3.5932212015585256, 5: 3.7669189900222135, 6: 7.185487101337462, 7: 7.426166483659546, 8: 29.89037684144289, 9: 7.696304860543868, 10: 7.8470905648607605, 11: 19.265915482707623, 12: 16.387957434606957, 13: 8.886610793336512}, {1: 5.465309209423993, 2: 44.821230574468395, 4: 5.823191170068989, 5: 12.999415493598217, 6: 8.635661705053966, 12: 26.459437312454245, 13: 23.70924200757038}, {1: 5.87481786642738, 4: 7.7522850798341265, 5: 11.390078446909557, 9: 11.784456140664167, 6: 13.21982627896431, 10: 15.774694142424057, 8: 16.607536897155182, 2: 40.33141187235105, 13: 24.493138464774624, 12: 30.884499008464445}, {2: 44.96887140953215, 1: 6.366834165318966, 10: 20.033187714716696, 8: 21.90749859719118, 11: 29.23872224739693}, {1: 25.723496407675363, 3: 3.409506058710223, 2: 34.02624963483868, 6: 11.327939203627576, 11: 16.081031862617255, 10: 20.387140728763935, 8: 30.982640167271192}, {1: 2.10471322368922, 3: 4.726508907511791, 2: 48.93292491730039, 6: 11.333117275225415, 11: 16.138891300164275, 10: 20.435079832368398, 12: 30.822493021577298, 8: 32.528355819426565}, {7: 10.290947816074436, 4: 10.46073939438239, 8: 33.28877083988495, 9: 13.617938985698427, 11: 18.584292925085613, 10: 20.439558015022183, 2: 49.45648263486101, 12: 31.737545564248954}, {3: 8.309933997275014, 5: 13.304599277642055, 7: 14.736349926386241, 4: 16.326510788354714, 9: 16.812967319243814, 6: 18.907667970005384, 10: 20.51536735087145, 1: 25.90519255173573, 13: 25.910084457287276, 11: 30.55227583745179, 12: 34.184381890297615, 8: 34.97307066921871, 2: 51.15732182275968}]
8;[0, 0, 0, 0, 0, 0, 0, 0];0;0;15.488908399795836;10.0;[{1: 2.192053105716787, 2: 2.596540355473062, 3: 2.879893780597676, 4: 3.6580961596236508, 5: 5.056663425518948, 6: 8.58940883874698, 7: 8.752534196778, 8: 9.954265519820927}]
14;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0;13.83098624387818;10.0;[{1: 0.6556405267731098, 2: 0.7854662082900384, 3: 0.7927309130201957, 4: 0.8667050653005743, 5: 2.62883057342883, 6: 2.727754558241033, 7: 3.5764533385092236, 8: 3.8691136455457484, 9: 4.969990880125521, 10: 5.353141535334158, 11: 6.47108509245615, 12: 7.789783927673181, 13: 8.027770523107026, 14: 8.298998685739196}]
9;[0, 0, 0, 0, 0, 0, 0, 0, 0];0;0;10.742554713857825;10.0;[{1: 0.5741189792887585, 2: 1.7043047693919435, 3: 1.9546182464560677, 4: 2.0158686515002735, 5: 2.134582606451686, 6: 2.349084895235563, 7: 2.5776152957329352, 8: 4.7702602759988375, 9: 5.302300408524026}]
8;[0, 0, 0, 0, 0, 0, 0, 0];0;0;11.397673766888182;10.0;[{1: 0.1695169090938198, 2: 3.2199215271194532, 3: 3.8997469224819574, 4: 5.19583981796324, 5: 6.356542229227963, 6: 6.392478759797229, 7: 8.264819237496038, 8: 9.781547574729316}]
11;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0;17.702593376071814;10.0;[{1: 0.7871786892590285, 2: 1.1884568111001212, 3: 2.1914086426259676, 4: 3.073015085067042, 5: 3.6404324853398937, 6: 8.023921779984342, 7: 8.041838849612127, 8: 8.551955479056106, 9: 8.633047971580714, 10: 8.98679348485071, 11: 9.365587173248352}]
10;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0;10.93635116753994;10.0;[{1: 0.4782656570966404, 2: 1.405839628309006, 3: 2.907518148129844, 4: 5.460282960667877, 5: 5.889277795900333, 6: 7.114175162732715, 7: 7.161734284424373, 8: 8.19806908327612, 9: 8.675901748644945, 10: 9.438291786118306}]
12;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0;10.975457630605595;10.0;[{1: 0.6781529471382827, 2: 1.2197894915190384, 3: 1.7090541575577558, 4: 2.6769551145997723, 5: 4.269303611317219, 6: 6.862284052604441, 7: 7.1257286637704675, 8: 7.232542238897763, 9: 7.2538563016278435, 10: 8.591837031674213, 11: 8.804412643329217, 12: 9.119822422372389}]
7;[0, 0, 0, 0, 0, 0, 0];0;0;10.048848391495422;10.0;[{1: 1.3572612649738047, 2: 4.168806127231626, 3: 4.4471814127570415, 4: 6.022720856310096, 5: 8.035718491839074, 6: 8.28819685576209, 7: 9.75358779961387}]
